,Accuracy,Precision,Recall,F1 Score
Navie Bayes,0.9084863244660921,0.8920309975286821,0.9084863244660921,0.8991025688265099
logistic Regression,0.918415136755339,0.9042405787001165,0.918415136755339,0.9086440960975855
SVM,0.9158860996627951,0.9007767857356874,0.9158860996627951,0.9061437046573404
Random Forest,0.9056762832521543,0.889774590709381,0.9056762832521543,0.8967069875581812
