platform,review,rating,date,source
Cars24,"I had my car evaluated on Sunday, June 21, 2026. After evaluation Cars24 executive convinced me that the bidding option would secure a better price than the local market rate, leading me to purchase the SellPro plan for 1049rs. Before that I told him I already had a showroom offer of 4.8 Lakh rupees for my car. He confirmed that my car's bidding would start at 5 lakhs and likely go higher.After a few hours I saw the report was generated and he mentioned that my RC was lost and Duplicate keys were unavailable. I have both. Later I saw the offer price was revealed: 4 Lakhs, which came down to 3.97 Lakhs after deductions.  At the same time, Spinny evaluated my car at no cost and offered a price of 4.8L. I feel cheated by Cars24 regarding my first selling experience.I received another call from the Direct Sales department describing a plan to sell the car at a higher market value of ₹6 lakh. And the listing fee is a non-refundable Rs 1,400. I already paid Rs 1049 for SellPro, but I've received no response from Cars24 team and no better value.Now I don't see my car listed in the Cars24 app itself, and I didn't sell my vehicle via Cars24. They didnt even refund my amount for the complaint I raised.",1,2026-07-05T09:33:37.000Z,Trustpilot
Cars24,"I paid ₹2,650 for a Cars24 PDI, and honestly, the whole experience was a complete mess. The inspector called me early, told me to come to the showroom, and then just never showed up—like what even is that? Their support is useless, just bots repeating the same nonsense, and to top it off, the app falsely marked my PDI as completed when no one even came. I did get my refund, but only after wasting my time and patience, and the only time a real person bothered to call was after I posted a negative review. For a paid service, don't waste any money here; find one person from the aftermarket because their PDI is a gimmick, and they don't know any business; they're just idiots with tech and money suckers.",,2026-07-07T08:30:41.000Z,Trustpilot
Cars24,"Really disappointing experience with Cars24.A car was delivered to me on 24 June, and the moment it was driven out of Cars24’s parking, it started showing engine check light and DEF malfunction errors. The vehicle was taken back on the assurance that it would be repaired and returned in 2–3 days. Since then, there has been no proper update, no ownership, no delivery timeline, and barely any response from the concerned people.For a company that markets “inspection”, “quality checks”, “1-year warranty” and “customer support” so aggressively, the actual after-sales experience has been the complete opposite — multiple people calling, nobody taking responsibility, and the customer left chasing basic answers for days.If this is Cars24’s idea of post-sale support, then buyers should think twice before trusting the promises made at the time of sale.Ticket ID: 2762772",,2026-07-03T12:46:11.000Z,Trustpilot
Cars24,"Hi! We apologise for any inconvenience you may have experienced. Please provide detailed information about your concern by completing this form ( https://i.ki.show/F658417793 ), and our team will immediately address it.",,2026-07-03T06:40:11.000Z,Trustpilot
Cars24,"⭐⭐☆☆☆ (2/5)My experience with Cars24 has been disappointing.There is no proper response from the support team when assistance is needed.They make false promises while selling their Pro Seller packages, but many of those commitments are not fulfilled.The customer service is poor, and the app has significant delays in responding and updating information.Communication between different teams is inconsistent, leading to confusion and wasted time.Follow-ups are often delayed, and resolving issues takes much longer than expected.Transparency regarding services, timelines, and commitments needs significant improvement.For a platform that deals with vehicle transactions, I expected a much more professional and reliable experience.I hope Cars24 improves its customer support, keeps its promises, and provides better service transparency for future customers.",1,2026-07-01T16:54:44.000Z,Trustpilot
Cars24,"Very disappointing experience with CARS24.I was persuaded to opt for their customer-to-customer direct listing (Sell Pro) with the promise of better visibility and a smoother selling process. After I agreed, there was virtually no follow-up. It became extremely difficult to get in touch with the assigned agent, and communication was almost non-existent.Even after a buyer's offer was accepted, there was no timely coordination or update from CARS24. I had to keep following up myself, with little to no response.The entire process felt misleading.The service was marketed as a premium assisted selling experience, but in reality there was no proactive support or accountability. Based on my experience, I cannot recommend this service and would advise others to think carefully before paying for the customer-to-customer listing option.",,2026-07-01T14:33:17.000Z,Trustpilot
Cars24,"I am extremely disappointed with the way my case has been handled. After taking the payment, there has been complete silence from your team. No one has contacted me regarding the valuation amount, the next steps, or the overall process.This raises a serious concern: are you planning to scam customers by collecting payments and then providing no communication or service? This is completely unacceptable and not what I expected from a company like Cars24.I expect an immediate response explaining the delay, confirming the amount, and outlining the remaining process. If I do not receive a prompt resolution, I will have no option but to escalate this matter through the appropriate consumer grievance channels and share my experience publicly.Please treat this as urgent and respond at the earliest.",,2026-07-01T13:23:15.000Z,Trustpilot
Cars24,"Hi Sudhir! We would like to inform you that your challan payment has been successfully processed from our end. However, due to an ongoing synchronization process on the government portal/NextGen mParivahan app, the challan may temporarily appear as pending, and the receipt may not be available yet. We kindly request that you allow some time for the government system to update. Once the synchronization is complete, the challan status and receipt will reflect correctly on the portal. #Cars24Crew",,2026-07-01T13:21:08.000Z,Trustpilot
Cars24,Hi Bhupendra! We sincerely apologise for the inconvenience caused. We would like to understand your concern better. Please share your details by filling out this form  https://i.ki.show/94A562337F  so that we can look into the matter and get back to you with an update. #Cars24Crew,,2026-07-01T09:09:03.000Z,Trustpilot
Cars24,"Hi TeamI brought a car - jeep compass 2017-  on 9th sept 2023. When I got the car, I told them after few years if I have to sell it because I might go abroad to study, they promised to take this car in cars24 but will not be for same price which is totally understandable however now I’m trying to sell the same car and I got a deal of 6,12,000 and I was ready to make the payment of difference amount of 4,65,000 but the agent assigned to me told to me hold the payment as the dealer cancelled it and I have submitted all the details asked by the team as they told it’ll be closed asap but now I have to wait and don’t know status yet, I also have to pay foreclosure amount fine per if I don’t close it within the given period of time and they have also taken charge from me like a token and not refunded back yet. This app is a total Fraud, i wouldn’t have written this long if I did not have a bad experience. They hide major details while they sell and use those to decline while you sell it back to them. Utterly fraud, this experience for me is about 6 months now. Till the final payment they stay with you and then they’ll never respond to your calls even if u call more than 1000 times. These applications should be banned for fraudulent activities like this. I’m trying to get FIR filed against you guys.FRAUD CARS24",1,2026-07-01T07:52:29.000Z,Trustpilot
